Model	scenario	demo	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
AM_ae_b	AM	AEB	Round_2_Replicate_17	-473.2527	964.5054	74.3615	210.0554	94.5929,11.6881,99.4245,0.4645,0.1517,1.5426,0.0644,17.8097,1.4046
two_ep_b	two_ep	B	Round_1_Replicate_19	-473.2829	964.5658	73.0837	209.9847	5.0201,8.8664,0.6411,0.418,1.568,0.2627,0.1044,9.498,0.209
two_ep_b	two_ep	B	Round_1_Replicate_10	-473.5429	965.0858	73.739	2266.1442	0.5199,0.8615,0.0324,2.8165,0.5028,1.1049,112.0529,100.8996,0.2709
two_ep_ae_b	two_ep	AEB	Round_1_Replicate_15	-471.6661	965.3322	70.2462	281.2326	0.048,4.2158,6.353,0.2323,5.134,0.0091,2.4588,0.191,3.0832,12.2745,0.072
two_ep_ae_b	two_ep	AEB	Round_2_Replicate_4	-471.6663	965.3326	70.7194	198.5734	0.1449,6.0586,9.0278,0.2505,0.9757,0.016,3.3663,0.1183,6.1016,8.695,0.0168
IM_ae_b	IM	AEB	Round_4_Replicate_2	-474.931	965.862	77.5325	223.1321	6.0962,19.8843,97.904,0.1202,1.5618,0.0982,0.0029,0.0
AM_ae	AM	AE	Round_3_Replicate_5	-475.5584	967.1168	79.8755	219.9181	6.1292,19.7424,10.4924,1.598,0.0586,0.0445,0.0,0.0001
two_ep_b	two_ep	B	Round_1_Replicate_3	-474.8987	967.7974	79.7174	1534.6328	0.7655,1.3,0.0243,0.7715,0.7991,1.1885,0.4099,78.0437,0.0342
AM_ae_b	AM	AEB	Round_4_Replicate_7	-474.9333	967.8666	77.5901	223.5894	6.0862,19.9454,99.6695,0.1287,1.5541,0.0022,0.0959,0.003,0.0024
IM	IM	basic	Round_4_Replicate_6	-479.2435	968.487	84.9169	251.1646	4.8708,5.7976,1.3081,11.4131,0.0001
IM	IM	basic	Round_3_Replicate_20	-479.2435	968.487	84.8921	251.4171	4.8602,5.7934,1.3057,11.4252,0.0
IM	IM	basic	Round_3_Replicate_8	-479.2435	968.487	84.9048	251.1931	4.8672,5.7971,1.308,11.4155,0.0001
IM	IM	basic	Round_3_Replicate_17	-479.2435	968.487	84.8933	251.3819	4.8603,5.7941,1.3061,11.4252,0.0
IM	IM	basic	Round_4_Replicate_11	-479.2435	968.487	84.9345	251.3332	4.8623,5.7971,1.3061,11.4322,0.0
IM	IM	basic	Round_3_Replicate_5	-479.2435	968.487	84.903	251.2047	4.8655,5.7978,1.3074,11.4112,0.0001
IM	IM	basic	Round_3_Replicate_6	-479.2436	968.4872	84.9103	251.2791	4.8707,5.7941,1.3075,11.4208,0.0001
IM	IM	basic	Round_3_Replicate_11	-479.2436	968.4872	84.9263	251.2195	4.8693,5.7973,1.3073,11.4179,0.0002
IM	IM	basic	Round_4_Replicate_11	-479.2436	968.4872	84.9128	251.4879	4.8606,5.7932,1.3046,11.4297,0.0
IM	IM	basic	Round_4_Replicate_4	-479.2438	968.4876	84.8792	251.7163	4.8558,5.7865,1.3033,11.4422,0.0001
two_ep_ae_b	two_ep	AEB	Round_1_Replicate_9	-473.4589	968.9178	73.3842	379.2442	0.2138,3.0938,5.146,0.103,4.8684,0.0022,2.1428,1.7642,0.5396,16.8099,0.0158
AM	AM	basic	Round_3_Replicate_13	-478.8752	969.7504	83.9524	248.6202	6.4588,5.8594,1.3162,0.0181,15.0034,24.8034
AM	AM	basic	Round_3_Replicate_18	-478.8753	969.7506	83.9559	248.6028	6.4756,5.8587,1.3166,0.0182,15.0284,0.1525
AM	AM	basic	Round_3_Replicate_7	-478.8754	969.7508	83.9845	248.7537	6.4637,5.8566,1.3151,0.0181,15.0196,0.131
AM	AM	basic	Round_3_Replicate_7	-478.8755	969.751	83.9425	248.8056	6.4374,5.8543,1.3152,0.0179,14.9741,4.3734
AM	AM	basic	Round_4_Replicate_6	-478.8755	969.751	83.94	248.9514	6.4461,5.8529,1.3132,0.0181,15.0247,8.413
AM	AM	basic	Round_4_Replicate_7	-478.8755	969.751	83.9769	248.8755	6.4337,5.8539,1.3144,0.0178,14.9691,0.2362
AM	AM	basic	Round_3_Replicate_9	-478.8756	969.7512	83.9643	248.8948	6.4538,5.8532,1.3146,0.0181,15.0465,1.2398
AM	AM	basic	Round_3_Replicate_7	-478.8757	969.7514	83.9066	249.0095	6.4559,5.8512,1.3128,0.0182,15.0707,0.1111
